id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;ano;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos
175081;13/01/2007;Quarta;15:10:00;MG;381;715;CARMO DA CACHOEIRA;Outras;Capotamento;Com Vtimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Curva;Rural;2007;2;1;2;1;1;1;2;1
175082;13/01/2007;Quarta;16:50:00;MG;381;596;OLIVEIRA;Outras;Sada de Pista;Sem Vtimas;Pleno dia;Crescente;Chuva;Dupla;Curva;Rural;2007;1;1;1;1;1;1;1;1
175083;13/01/2007;Quarta;21:30:00;MG;381;806.5;CAREACU;Defeito na via;Danos Eventuais;Sem Vtimas;Plena noite;Crescente;Chuva;Dupla;Curva;Rural;2007;1;1;1;1;1;1;1;1
175084;13/01/2007;Quarta;16:40:00;PA;316;61.5;CASTANHAL;Outras;Coliso lateral;Sem Vtimas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Urbano;2007;2;1;1;1;2;1;1;2
175085;13/01/2007;Quarta;22:20:00;SP;381;68;MAIRIPORA;Velocidade incompatvel;Tombamento;Com Vtimas Feridas;Plena noite;Decrescente;Chuva;Dupla;Curva;Urbano;2007;1;1;1;1;1;1;1;1
175086;13/01/2007;Quarta;18:50:00;MG;381;351;SAO GONCALO DO RIO ABAIXO;Outras;Sada de Pista;Com Vtimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;Rural;2007;1;1;1;1;1;1;1;1
175087;13/01/2007;Quarta;19:45:00;RO;364;708;PORTO VELHO;Outras;Coliso traseira;Com Vtimas Feridas;Plena noite;Crescente;Ceu Claro;Dupla;Reta;Rural;2007;2;1;1;1;1;1;1;2
175088;13/01/2007;Quarta;13:50:00;RS;386;436.1;NOVA SANTA RITA;Falta de ateno;Atropelamento de pessoa;Com Vtimas Feridas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Urbano;2007;2;1;1;1;1;1;1;1
175089;13/01/2007;Quarta;17:00:00;GO;153;657.8;GOIATUBA;Defeito mecnico em veculo;Sada de Pista;Sem Vtimas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Rural;2007;1;1;1;1;1;1;1;1
175090;14/01/2007;Quinta;15:40:00;RS;386;351.2;ESTRELA;Falta de ateno;Coliso traseira;Com Vtimas Feridas;Amanhecer;Decrescente;Ceu Claro;Dupla;Reta;Urbano;2007;3;1;2;1;1;1;2;2
175091;13/01/2007;Quarta;19:00:00;MG;153;139.5;PRATA;Outras;Sada de Pista;Com Vtimas Feridas;Anoitecer;Decrescente;Chuva;Simples;Reta;Rural;2007;3;1;3;1;1;1;3;1
175092;14/01/2007;Quinta;15:25:00;RS;472;587;URUGUAIANA;Falta de ateno;Capotamento;Com Vtimas Feridas;Plena noite;Crescente;Ceu Claro;Simples;Cruzamento;Urbano;2007;1;1;1;1;1;1;1;1
175093;13/01/2007;Quarta;18:00:00;RO;364;281;PRESIDENTE MEDICI;Falta de ateno;Atropelamento de pessoa;Com Vtimas Feridas;Anoitecer;Crescente;Nublado;Simples;Reta;Rural;2007;3;1;3;1;1;1;3;1
175094;13/01/2007;Quarta;19:45:00;MT;163;1039.7;MATUPA;Falta de ateno;Sada de Pista;Com Vtimas Feridas;Plena noite;Decrescente;Ceu Claro;Simples;Reta;Urbano;2007;5;1;2;3;1;1;5;1
175095;14/01/2007;Quinta;13:20:00;RJ;116;173.2;MESQUITA;Outras;Coliso traseira;Sem Vtimas;Plena noite;Decrescente;Nublado;Dupla;Reta;Urbano;2007;2;1;1;1;2;1;1;2
175097;14/01/2007;Quinta;12:40:00;SP;116;330.1;JUQUITIBA;Falta de ateno;Sada de Pista;Sem Vtimas;Plena noite;Decrescente;Chuva;Dupla;Reta;Rural;2007;1;1;1;1;1;1;1;1
175099;14/01/2007;Quinta;14:00:00;SP;116;321;JUQUITIBA;Dormindo;Coliso com objeto fixo;Sem Vtimas;Plena noite;Decrescente;Chuva;Dupla;Reta;Rural;2007;1;1;1;1;1;1;1;1
175100;13/01/2007;Quarta;17:45:00;MG;262;175;SAO DOMINGOS DO PRATA;Velocidade incompatvel;Capotamento;Sem Vtimas;Pleno dia;Crescente;Nublado;Simples;Curva;Rural;2007;1;1;1;1;1;1;1;1
175102;13/01/2007;Quarta;22:30:00;SP;116;368.5;MIRACATU;Falta de ateno;Tombamento;Sem Vtimas;Plena noite;Decrescente;Nublado;Simples;Reta;Rural;2007;1;1;1;1;1;1;1;1
175103;11/01/2007;Segunda;14:00:00;SC;101;293.1;IMBITUBA;Ultrapassagem indevida;Coliso lateral;Sem Vtimas;Plena noite;Decrescente;Ignorada;Simples;Reta;Rural;2007;2;1;1;1;2;1;1;2
175106;13/01/2007;Quarta;20:15:00;SP;381;24;BRAGANCA PAULISTA;Outras;Capotamento;Com Vtimas Feridas;Plena noite;Crescente;Chuva;Dupla;Reta;Rural;2007;3;1;2;1;1;1;2;1
175107;14/01/2007;Quinta;12:30:00;PB;230;17;JOAO PESSOA;Falta de ateno;Sada de Pista;Sem Vtimas;Plena noite;Decrescente;Ceu Claro;Dupla;Reta;Urbano;2007;1;1;1;1;1;1;1;1
175108;13/01/2007;Quarta;16:50:00;SP;116;536.5;BARRA DO TURVO;Outras;Tombamento;Com Vtimas Feridas;Pleno dia;Decrescente;Ceu Claro;Dupla;Reta;Rural;2007;4;1;3;1;1;1;3;1
175109;13/01/2007;Quarta;16:50:00;RJ;393;250.7;BARRA DO PIRAI;Defeito na via;Danos Eventuais;Sem Vtimas;Pleno dia;Crescente;Chuva;Simples;Reta;Rural;2007;1;1;1;1;1;1;1;1
175110;11/01/2007;Segunda;14:00:00;MG;40;789.2;JUIZ DE FORA;Outras;Queda de motocicleta / bicicleta / veculo;Com Vtimas Feridas;Plena noite;Crescente;Chuva;Simples;Reta;Rural;2007;1;1;1;1;1;1;1;1
175111;14/01/2007;Quinta;17:30:00;SC;101;106.7;PENHA;Desobedincia  sinalizao;Coliso traseira;Sem Vtimas;Pleno dia;Crescente;Nublado;Dupla;Reta;Rural;2007;2;1;1;1;2;1;1;2
175112;13/01/2007;Quarta;11:30:00;MG;262;619;IBIA;Outras;Sada de Pista;Com Vtimas Feridas;Pleno dia;Decrescente;Chuva;Simples;Curva;Rural;2007;2;1;1;1;1;1;1;1
